canonical,entity_type,region,alias_count,source
Greater Accra,region,,0,regions
Ashanti,region,,0,regions
Western,region,,0,regions
Western North,region,,0,regions
Central,region,,0,regions
Eastern,region,,0,regions
Volta,region,,0,regions
Oti,region,,0,regions
Northern,region,,0,regions
Savannah,region,,0,regions
North East,region,,0,regions
Upper East,region,,0,regions
Upper West,region,,0,regions
Bono,region,,0,regions
Bono East,region,,0,regions
Ahafo,region,,0,regions
Abeka,city,Greater Accra,0,cities
Ablekuma North,city,Greater Accra,0,cities
Abokobi,city,Greater Accra,0,cities
Accra,city,Greater Accra,0,cities
Accra New Town,city,Greater Accra,0,cities
Ada Foah,city,Greater Accra,0,cities
Adenta,city,Greater Accra,0,cities
Amasaman,city,Greater Accra,0,cities
Ashiaman,city,Greater Accra,0,cities
Dansoman,city,Greater Accra,0,cities
Dodowa,city,Greater Accra,0,cities
Dzorwulu,city,Greater Accra,0,cities
Kokomlemle,city,Greater Accra,0,cities
Kpone,city,Greater Accra,0,cities
La,city,Greater Accra,0,cities
Latebiokorshie,city,Greater Accra,0,cities
Madina,city,Greater Accra,0,cities
Ngleshie Amanfrom,city,Greater Accra,0,cities
Nima,city,Greater Accra,0,cities
Nungua,city,Greater Accra,0,cities
Ofankor,city,Greater Accra,0,cities
Osu,city,Greater Accra,0,cities
Prampram,city,Greater Accra,0,cities
Sege,city,Greater Accra,0,cities
Sowutuom,city,Greater Accra,0,cities
Tema,city,Greater Accra,0,cities
Tema Community 2,city,Greater Accra,0,cities
Teshie,city,Greater Accra,0,cities
Weija,city,Greater Accra,0,cities
Adugyama,city,Ashanti,0,cities
Agogo,city,Ashanti,0,cities
Agona,city,Ashanti,0,cities
Akomadan,city,Ashanti,0,cities
Akrofuom,city,Ashanti,0,cities
Asiwa,city,Ashanti,0,cities
Asokore,city,Ashanti,0,cities
Asokwa,city,Ashanti,0,cities
Barekese,city,Ashanti,0,cities
Bekwai,city,Ashanti,0,cities
Boaman,city,Ashanti,0,cities
Drobonso,city,Ashanti,0,cities
Edubia,city,Ashanti,0,cities
Effiduase,city,Ashanti,0,cities
Ejisu,city,Ashanti,0,cities
Ejura,city,Ashanti,0,cities
Foase,city,Ashanti,0,cities
Fomena,city,Ashanti,0,cities
Jacobu,city,Ashanti,0,cities
Juaben,city,Ashanti,0,cities
Juaso,city,Ashanti,0,cities
Kodie,city,Ashanti,0,cities
Konongo-Odumase,city,Ashanti,0,cities
Kumasi,city,Ashanti,0,cities
Kumawu,city,Ashanti,0,cities
Kuntenase,city,Ashanti,0,cities
Kwadaso,city,Ashanti,0,cities
Mampong,city,Ashanti,0,cities
Mamponteng,city,Ashanti,0,cities
Mankranso,city,Ashanti,0,cities
Manso Nkwanta,city,Ashanti,0,cities
New Edubiase,city,Ashanti,0,cities
Nkawie,city,Ashanti,0,cities
Nsuta,city,Ashanti,0,cities
Nyinahin,city,Ashanti,0,cities
Obuasi,city,Ashanti,0,cities
Offinso,city,Ashanti,0,cities
Oforikrom,city,Ashanti,0,cities
Old Tafo,city,Ashanti,0,cities
Suame,city,Ashanti,0,cities
Tepa,city,Ashanti,0,cities
Tutuka,city,Ashanti,0,cities
Agona Nkwanta,city,Western,0,cities
Asankragu,city,Western,0,cities
Axim,city,Western,0,cities
Bogoso,city,Western,0,cities
Daboase,city,Western,0,cities
Dixcove,city,Western,0,cities
Elubo,city,Western,0,cities
Half Assini,city,Western,0,cities
Kwesimintsim,city,Western,0,cities
Mpohor,city,Western,0,cities
Nkroful,city,Western,0,cities
Prestea,city,Western,0,cities
Sekondi-Takoradi,city,Western,0,cities
Shama,city,Western,0,cities
Tarkwa,city,Western,0,cities
Wassa Akropong,city,Western,0,cities
Adabokrom,city,Western North,0,cities
Akontombra,city,Western North,0,cities
Bibiani,city,Western North,0,cities
Bodi,city,Western North,0,cities
Dadieso,city,Western North,0,cities
Enchi,city,Western North,0,cities
Essam,city,Western North,0,cities
Juaboso,city,Western North,0,cities
Sefwi Wiawso,city,Western North,0,cities
