canonical,constituency,party,role,alias_count
Alban Sumana Kingsford Bagbin,Nadowli/Kaleo,NDC,,4
Alexander Kwamena Afenyo-Markin,Effutu,NPP,,2
Cassiel Ato Forson,Ajumako-Enyan-Essiam,NDC,,3
Haruna Iddrisu,Tamale South,NDC,,3
Abdul Rauf Tongym Tubazu,Ayawaso Central,NDC,,1
Abdul Aziz Fatahiya,Savelugu,NPP,,1
Abdul Kabiru Tiah Mahama,Walewale,NPP,,1
Abdul-Fatawu Alhassan,Yendi,NDC,,1
Abdul-Khaliq Mohammed Sherif,Nanton,NDC,,2
Abdul-Rashid Hassan Pelpuo,Wa Central,NDC,,2
Abdul-Salam Adams,New Edubiase,NDC,,1
Abed-Nego Lamangin Bandim,Bunkpurugu,NDC,,1
Abena Osei-Asare,Atiwa East,NPP,,2
Abla Dzifa Gomashie,Ketu South,NDC,,2
Adama Sulemana,Tain,NDC,,1
Adelaide Ntim,Nsuta/Kwaman Beposo,NPP,,1
Agnes Naa Momo Lartey,Krowor,NDC,,2
Ahmed Ibrahim,Banda,NDC,,1
Akwasi Konadu,Manhyia North,NPP,,1
Albert Tetteh Nyakotey,Yilo Krobo,NDC,,1
Alexander Roosevelt Hottordze,Central Tongu,NDC,,1
Alexander Akwasi Acquah,Akim Oda,NPP,,1
Alfred Okoe Vanderpuije,Ablekuma South,NDC,,2
Andrew Asiamah Amoako,Fomena,NPP,,1
Ayariga Mahama,Bawku Central,NDC,,1
Samuel Okudzeto Ablakwa,North Tongu,NDC,,3
Samuel Nartey George,Ningo-Prampram,NDC,,3
John Abdulai Jinapor,Damongo,NDC,,2
Ibrahim Murtala Mohammed,Tamale Central,NDC,,2
Kwabena Minta Akandoh,Juaboso,NDC,,2
Mohammed Mubarak Muntaka,Asawase,NDC,,2
Dominic Ayine,Bolgatanga East,NDC,,2
Emmanuel Armah-Kofi Buah,Ellembele,NDC,,2
Governs Kwame Agbodza,Adaklu,NDC,,2
Eric Opoku,Asunafo South,NDC,,1
Elizabeth Ofosu Agyare,Akwatia,NDC,,1
Kojo Oppong Nkrumah,Ofoase Ayirebi,NPP,,2
Ursula Owusu-Ekuful,Ablekuma West,NPP,,2
Matthew Opoku Prempeh,Manhyia South,NPP,,2
Osei Kyei-Mensah-Bonsu,Suame,NPP,,1
Dan Botwe,Okere,NPP,,2
Ken Ofori-Atta,Abuakwa South,NPP,,2
Godfred Yeboah Dame,Abuakwa North,NPP,,1
Francis Asenso-Boakye,Bantama,NPP,,1
Joseph Osei-Owusu,Bekwai,NPP,,2
Kwaku Agyeman-Manu,Dormaa Central,NPP,,1
Dominic Nitiwul,Bimbilla,NPP,,1
Alan Kyerematen,,NPP,,3
Ignatius Baffuor Awuah,Sunyani West,NPP,,1
Kwasi Amoako-Atta,Atiwa West,NPP,,2
Samuel Abu Jinapor,Damongo,NPP,,1
Ambrose Dery,Nandom,NPP,,2
Bede Anwataazumo Ziedeng,Lawra,NDC,,1
Benjamin Narteh Ayiku,Ledzokuku,NDC,,1
Alhassan Tampuli Sulemana,Gushegu,NPP,,1
Andrew Dari Chiwitey,Sawla/Tuna/Kalba,NDC,,1
Bawah Muhammad Braimah,Ejura Sekyeredumase,NDC,,1
Anthony Mwinkaara Sumah,Nadowli/Kaleo,NDC,,1
Patrick Yaw Boamah,Okaikwei Central,NPP,,1
Bryan Acheampong,Abetifi,NPP,,1
Lydia Seyram Alhassan,Ayawaso West Wuogon,NPP,,1
Mavis Hawa Koomson,Awutu Senya East,NPP,,1
Sarah Adwoa Safo,Dome Kwabenya,NPP,,1
Henry Quartey,Ayawaso Central,NPP,,1
Kwame Anyimadu-Antwi,Asante Akim Central,NPP,,1
Mark Assibey-Yeboah,New Juaben South,NPP,,1
Ebenezer Kojo Kum,Ahanta West,NPP,,1
Kwabena Mintah Akandoh,Juaboso,NDC,,1
Yaw Buaben Asamoa,Adentan,NPP,,1
Emmanuel Kwasi Bedzrah,Ho West,NDC,,1
Nii Lante Vanderpuije,Odododiodio,NDC,,1
Rockson-Nelson Dafeamekpor,South Dayi,NDC,,1
Mahama Ayariga,Bawku Central,NDC,,1
Clement Apaak,Builsa South,NDC,,2
Isaac Adongo,Bolgatanga Central,NDC,,1
Kofi Adams,Buem,NDC,,1
James Klutse Avedzi,Ketu North,NDC,,1
Ras Mubarak,Kumbungu,NDC,,1
Inusah Fuseini,Tamale Central,NDC,,2
Alhassan Suhuyini,Tamale North,NDC,,1
Peter Nortsu-Kotoe,Akatsi North,NDC,,1
Zanetor Agyeman-Rawlings,Klottey Korle,NDC,,2
Kwame Agbodza,Adaklu,NDC,,1
Fiifi Kwetey,Keta,NDC,,2
