canonical,abbreviation,alias_count
National Democratic Congress,NDC,3
New Patriotic Party,NPP,3
All People's Congress,APC,3
Convention People's Party,CPP,3
Great Consolidated Popular Party,GCPP,2
Ghana Freedom Party,GFP,2
Ghana Union Movement,GUM,2
Liberal Party of Ghana,LPG,2
National Democratic Party,NDP,2
People's National Convention,PNC,3
Progressive Alliance for Ghana,PAG,2
Progressive People's Party,PPP,3
Progress Party,PP,2
People's National Party,PNP,3
Popular Front Party,PFP,2
United Party,UP,2
United Gold Coast Convention,UGCC,2
National Liberation Movement,NLM,2
National Alliance of Liberals,NAL,2
Democratic Freedom Party,DFP,2
Democratic People's Party,DPP,3
United Ghana Movement,UGM,2
National Reform Party,NRP,2
People's Heritage Party,PHP,3
National Independence Party,NIP,2
People's Convention Party,PCP,3
